Noun,Meaning,Nominative,Accusative,Dative,Genitive,Gender,N1E,N2E,N1,N2,A1E,A2E,A1,A2,D1E,D2E,D1,D2,G1E,G2E,G1,G2,Rule,Conjugator
Zollstock,Tape measure,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Meißel,Chisel,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Lastwagen,Truck,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bus,Bus,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Zug,Train,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Stickstoff,Nitrogen,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schwefel,Sulfur,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Computer,Computer,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Drucker,Printer,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Scanner,Scanner,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
