Noun,Meaning,Nominative,Accusative,Dative,Genitive,Gender,N1E,N2E,N1,N2,A1E,A2E,A1,A2,D1E,D2E,D1,D2,G1E,G2E,G1,G2,Rule,Conjugator
Kontrabass,Double bass,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bunsenbrenner,Bunsen burner,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kuchen,Cake,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Donut,Donut,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Strudel,Strudel,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Hamburger,Hamburger,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Grillspieß,Kebab skewer,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Grillkäse,Grilled cheese,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Eintopf,Stew,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Reis,Rice,der,den,dem,des/s,M,-,er,e,e,en,en,en,en,em,en,en,en,es,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Gürtel,Belts,der,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Löffel,Spoons,der,den,den,den,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Banane,Banana,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Orange,Orange,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kiwi,Kiwi,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Pflaume,Plum,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kirsche,Cherry,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Ananas,Pineapple,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Mango,Mango,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wassermelone,Watermelon,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schere,Scissors,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Säge,Saw,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wasserwaage,Spirit level,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Zange,Pliers,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Säure,Acid,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kamera,Camera,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bohrmaschine,Drilling machine,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schneidemaschine,Cutting machine,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Oase,Oasis,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Festung,Fortress,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Savanne,Savannah,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bucht,Bay,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Stadt,City,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wüste,Desert,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Mutter,Mother,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Tochter,Daughter,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Großmutter,Grandmother,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Enkelin,Granddaughter,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Wohnung,Apartment,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Schule,School,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kirche,Church,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Katze,Cat,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Kuh,Cow,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Puppe,Doll,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Eisenbahn,Train,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Küche,Kitchen,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Straße,Street,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Fußgängerzone,Pedestrian zone,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Allee,Avenue,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Gasse,Alley,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Augentropfen,Eye drops,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Gitarre,Guitar,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Geige,Violin,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Flöte,Flute,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Trompete,Trumpet,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Waage,Scale,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Pipette,Pipette,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Brezel,Pretzel,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Rippchen,Grilled ribs,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Spätzle,Spätzle,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Nudeln,Pasta,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Bratkartoffeln,Fried potatoes,die,die,der,der,F,e,e,e,e,e,e,e,e,er,en,en,er,er,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Stiefel,Boots,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Hosen,Pants,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Socken,Socks,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Handschuhe,Gloves,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Hemden,Shirts,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Kleider,Dresses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Röcke,Skirts,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Schuhe,Shoes,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Mützen,Caps,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Uhren,Watches,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Taschen,Bags,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Brillen,Glasses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Ringe,Rings,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Ketten,Necklaces,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Ohrringe,Earrings,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Flaschen,Bottles,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Gläser,Glasses,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Teller,Plates,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Tassen,Cups,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Gabeln,Forks,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Schüsseln,Bowls,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Stühle,Chairs,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Tische,Tables,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Regale,Shelves,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Lampen,Lamps,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Türen,Doors,die,die,den,der,P,e,en,en,en,en,en,en,en,en,en,en,en,en,en,en,en,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Noun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Du,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\du.png
Du,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\du.png
Du,You Yours,Du,dich,dir,dein-,Y,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\du.png
Er,It it's (Male),Er,ihn,ihm,sein-,M,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Er,It it's (Male),Er,ihn,ihm,sein-,M,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Es,It it's (nueter),Es,es,ihm,sein-,N,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Es,It it's (nueter),Es,es,ihm,sein-,N,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Ich,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ich.png
Ich,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ich.png
Ich,I Me Mine,Ich,mich,mir,mein-,I,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ich.png
Ihr,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ihr.png
Ihr,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ihr.png
Ihr,All of you(rs),Ihr,euch,euch,eur-,R,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\ihr.png
Sie,It it's (Feminine),Sie,sie,ihr,ihr-,F,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Sie,It it's (Feminine),Sie,sie,ihr,ihr-,F,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\es.png
Sie,You yours (formal) ,Sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Sie,You yours (formal) ,Sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
sie,They Them Theirs,sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
sie,They Them Theirs,sie,sie,ihnnen,ihr-,P,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Wir,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Wir,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
Wir,We Us Our,Wir,uns,uns,unser-,W,,,,,,,,,,,,,,,,,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\Pronoun.png,D:\workdrive backup\WorkStuff\Quatsch\Card descriptions\wir.png
